201,NJ,North Jersey,Jersey City, Hoboken, Hackensack,The very first area code ever assigned (1947). Home to the Sopranos settings.,,
202,DC,Washington D.C.,The entire District of Columbia,Strictly the District. A status symbol for politicos and lobbyists.,,,,
203,CT,Southwest Connecticut,Fairfield County, Stamford, Greenwich,"The ""Gold Coast"" of Connecticut; hedge fund country close to NYC.",,
205,AL,Birmingham,Birmingham, Tuscaloosa,Historically covered the entire state of Alabama.,,,
206,WA,Seattle,Seattle, Shoreline, Bainbridge Island,The original grunge-era code. Suburbs like Bellevue are 425.,,
207,ME,Maine,Entire State,"One of the few remaining single-code states. ""The 207"" is a point of state pride.",,,,
208,ID,Idaho,Entire State (historically),"Idaho is famously protective of its ""208"" identity despite new overlays.",,,,
209,CA,Central Valley,Stockton, Modesto, Yosemite,Agricultural hub; famously shouted out by the Diaz brothers (UFC fighters).,,
210,TX,San Antonio,Downtown, Alamo Heights, Pearl District, King William,"The ""Military City"" code. One of the original Texas area codes.",
212,NY,Manhattan,Manhattan (Strictly),"The ""Gold Standard"" of phone numbers. Indicates you have had a landline since the 90s.",,,,
213,CA,Los Angeles (Downtown),DTLA, Staples Center, USC,The original SoCal code (1947). Now mostly strictly Downtown LA.,,
214,TX,Dallas (Core),Downtown, Uptown, Deep Ellum, Highland Park,"The original Dallas code. historically considered the ""prestige"" code vs. the suburban 972.",
215,PA,Philadelphia,Center City, South Philly, North Philly,"The original Philly code. ""The 215"" vs the suburban ""610"".",,
216,OH,Cleveland,Cleveland proper, The Flats,"Famous from ""The Drew Carey Show"" and Bone Thugs-N-Harmony songs.",,,
217,IL,Central Illinois,Springfield, Champaign-Urbana,Home to the State Capitol and University of Illinois.,,,
219,IN,Northwest Indiana,Gary, Hammond," ""The Region""",Culturally part of the Chicago metro area (suburbs) but in Indiana.,,
225,LA,Baton Rouge,Baton Rouge, LSU area," spells ""CAJ"" on the dial pad.",,,
228,MS,Gulf Coast,Biloxi, Gulfport, Ocean Springs,"The ""Coastal Mississippi"" code; casino country.",,
239,FL,Southwest Florida,Naples, Fort Myers, Cape Coral, Marco Island,"Covers the ""Paradise Coast.""",
248,MI,Detroit Suburbs,Oakland County (Troy," Birmingham). The ""Wealthy"" Detroit code vs the city's 313.",,,,
253,WA,Tacoma,South of Seattle. distinct blue-collar identity from 206.,,,,,
254,TX,Central Texas,Waco, Killeen (Fort Cavazos), Temple,Known for the Magnolia Market (Chip & Joanna Gaines) and military history.,,
260,IN,Fort Wayne,Northeast Indiana.,,,,,
262,WI,Milwaukee Suburbs,Waukesha, Racine. The conservative suburban ring around Milwaukee (414).,,,,
269,MI,Kalamazoo,Southwest Michigan. Home to Western Michigan University.,,,,,
279,CA,Sacramento,Overlay for 916,Newer overlay for the State Capital.,,,,
281,TX,Houston (Suburbs),Katy, The Woodlands, Sugar Land, Kingwood,"Historically the suburban ring outside the ""610 Loop."" Now overlays the whole city.",
301,MD,Maryland (DC Suburbs),Bethesda, Silver Spring, Prince George's Co.,Historically the whole state; now implies the wealthy DC suburbs.,,
302,DE,Delaware,Entire State,Small state, single code.,,,
303,CO,Denver,Denver, Boulder, Aurora,The original Colorado code. 720 is the overlay," but 303 is the ""native"" badge.",
304,WV,West Virginia,Entire State,Traditionally covered the whole state (now has overlay 681).,,,,
305,FL,Miami,South Beach, Little Havana, Brickell, Coconut Grove,"The ultimate ""212"" of Florida. ""The 305"" is a cultural brand made famous by Pitbull.",
310,CA,Los Angeles (Westside),Beverly Hills, Santa Monica, Malibu,"The ""Prestige"" LA code. Implies wealth and beach proximity.",,
310,CA,Los Angeles (Westside),Beverly Hills, Santa Monica, Malibu,"The ""Prestige"" LA code. Implies wealth", beach proximity, and status.
312,IL,Chicago (The Loop),Downtown Chicago, Gold Coast, River North,"Strictly the business/downtown district. The ""212"" of the Midwest.",,
313,MI,Detroit,Detroit proper, Dearborn, Grosse Pointe,"Eminem made this famous in the movie *8 Mile*. strictly ""The D.""",,
314,MO,St. Louis,St. Louis City and immediate suburbs,"Nelly made this famous with his song ""Ei (Remix)"" shouting out the 314.",,,,
315,NY,Central NY,Syracuse, Utica, Watertown,Home to the Snow Belt and Syracuse University.,,
316,KS,Wichita,Wichita metro,Historically covered all of southern Kansas.,,,,
317,IN,Indianapolis,Indianapolis metro," known as the ""Indy"" code.",,,,
319,IA,Eastern Iowa,Iowa City, Cedar Rapids, Waterloo,Home to the University of Iowa.,,
321,FL,Space Coast / Orlando,Cape Canaveral, Cocoa Beach, Titusville,The only area code that is a countdown (3-2-1) in honor of rocket launches at NASA.,,
323,CA,Los Angeles (Hollywood),Hollywood, Silver Lake, East LA,"Historically the ""cool/hipster"" neighborhoods surrounding downtown.",,
323,CA,Los Angeles (Central),Hollywood, Silver Lake, Echo Park,"Historically the ""Cool/Hipster"" code surrounding Downtown.",,
325,TX,West Central Texas,Abilene, San Angelo, Snyder,Covers a massive rural area of ranching country.,,
329,NY,Hudson Valley,Overlay for 845,A very new overlay code for the Poughkeepsie area.,,,,
330,OH,Akron / Canton,LeBron James' home region.,,,,,
331,IL,Chicago Suburbs,Overlay for 630 (West Suburbs).,,,,,
332,NY,Manhattan,Manhattan Overlay,The newest code for Manhattan. Lacks the status of 212 or 646.,,,,
334,AL,Montgomery,Montgomery, Auburn, Selma,Civil Rights history hub.,,
336,NC,Piedmont Triad,Greensboro, Winston-Salem, High Point,Tobacco and furniture country.,,
341,CA,East Bay,Overlay for 510,Newer overlay for Oakland/Berkeley.,,,,
346,TX,Houston Metro,Overlay for 713/281/832,Newer overlay code; lacks the specific geographic identity of 713 or 281.,,,,
347,NY,NYC Outer Boroughs,Overlay for 718. Very common for Millennials/Gen Z in Brooklyn/Queens.,,,,,
